tweet_id,favorites,retweets,created_at
892420643555336193,37477,8163,2017-08-01 16:23:56+00:00
892177421306343426,32215,6042,2017-08-01 00:17:27+00:00
891815181378084864,24279,3999,2017-07-31 00:18:03+00:00
891689557279858688,40805,8317,2017-07-30 15:58:51+00:00
891327558926688256,39019,9011,2017-07-29 16:00:24+00:00
891087950875897856,19608,2990,2017-07-29 00:08:17+00:00
890971913173991426,11457,1984,2017-07-28 16:27:12+00:00
890729181411237888,63208,18130,2017-07-28 00:22:40+00:00
890609185150312448,26972,4104,2017-07-27 16:25:51+00:00
890240255349198849,30910,7094,2017-07-26 15:59:51+00:00
890006608113172480,29733,7051,2017-07-26 00:31:25+00:00
889880896479866881,26971,4787,2017-07-25 16:11:53+00:00
889665388333682689,46590,9650,2017-07-25 01:55:32+00:00
889638837579907072,26260,4361,2017-07-25 00:10:02+00:00
889531135344209921,14642,2165,2017-07-24 17:02:04+00:00
889278841981685760,24467,5175,2017-07-24 00:19:32+00:00
888917238123831296,28216,4338,2017-07-23 00:22:39+00:00
888804989199671297,24767,4119,2017-07-22 16:56:37+00:00
888554962724278272,19206,3397,2017-07-22 00:23:06+00:00
888078434458587136,21074,3350,2017-07-20 16:49:33+00:00
887705289381826560,29262,5174,2017-07-19 16:06:48+00:00
887517139158093824,44875,11258,2017-07-19 03:39:09+00:00
887473957103951883,66760,17455,2017-07-19 00:47:34+00:00
887343217045368832,32618,10033,2017-07-18 16:08:03+00:00
887101392804085760,29627,5729,2017-07-18 00:07:08+00:00
886983233522544640,33999,7453,2017-07-17 16:17:36+00:00
886736880519319552,11653,3136,2017-07-16 23:58:41+00:00
886680336477933568,21740,4289,2017-07-16 20:14:00+00:00
886366144734445568,20504,3078,2017-07-15 23:25:31+00:00
886267009285017600,116,4,2017-07-15 16:51:35+00:00
886258384151887873,27122,6069,2017-07-15 16:17:19+00:00
886054160059072513,0,105,2017-07-15 02:45:48+00:00
885984800019947520,31591,6522,2017-07-14 22:10:11+00:00
885528943205470208,34865,6180,2017-07-13 15:58:47+00:00
885518971528720385,19810,3607,2017-07-13 15:19:09+00:00
885311592912609280,0,17842,2017-07-13 01:35:06+00:00
885167619883638784,21237,4219,2017-07-12 16:03:00+00:00
884925521741709313,74945,17543,2017-07-12 00:01:00+00:00
884876753390489601,27021,5405,2017-07-11 20:47:12+00:00
884562892145688576,23529,4507,2017-07-11 00:00:02+00:00
884441805382717440,26176,5458,2017-07-10 15:58:53+00:00
884247878851493888,70665,19760,2017-07-10 03:08:17+00:00
884162670584377345,19738,2872,2017-07-09 21:29:42+00:00
883838122936631299,21191,3314,2017-07-09 00:00:04+00:00
883482846933004288,44496,9542,2017-07-08 00:28:19+00:00
883360690899218434,21986,3572,2017-07-07 16:22:55+00:00
883117836046086144,35995,6413,2017-07-07 00:17:54+00:00
882992080364220416,23186,3776,2017-07-06 15:58:11+00:00
882762694511734784,27396,4720,2017-07-06 00:46:41+00:00
882627270321602560,27068,5869,2017-07-05 15:48:34+00:00
882268110199369728,43515,11173,2017-07-04 16:01:23+00:00
882045870035918850,28409,4761,2017-07-04 01:18:17+00:00
881906580714921986,23562,3276,2017-07-03 16:04:48+00:00
881666595344535552,49059,10292,2017-07-03 00:11:11+00:00
881633300179243008,123,7,2017-07-02 21:58:53+00:00
881536004380872706,47881,15373,2017-07-02 15:32:16+00:00
881268444196462592,22427,5006,2017-07-01 21:49:04+00:00
880935762899988482,16514,2685,2017-06-30 23:47:07+00:00
880872448815771648,20622,3686,2017-06-30 19:35:32+00:00
880465832366813184,27644,6039,2017-06-29 16:39:47+00:00
880221127280381952,26187,4066,2017-06-29 00:27:25+00:00
880095782870896641,26781,4182,2017-06-28 16:09:20+00:00
879862464715927552,21654,3377,2017-06-28 00:42:13+00:00
879674319642796034,302,10,2017-06-27 12:14:36+00:00
879492040517615616,22735,3068,2017-06-27 00:10:17+00:00
879415818425184262,102617,42733,2017-06-26 19:07:24+00:00
879376492567855104,16292,3008,2017-06-26 16:31:08+00:00
879130579576475649,0,6566,2017-06-26 00:13:58+00:00
879050749262655488,21846,4536,2017-06-25 18:56:45+00:00
879008229531029506,18385,2599,2017-06-25 16:07:47+00:00
878776093423087618,18816,3983,2017-06-25 00:45:22+00:00
878604707211726852,29283,6945,2017-06-24 13:24:20+00:00
878404777348136964,0,1241,2017-06-24 00:09:53+00:00
878316110768087041,0,6417,2017-06-23 18:17:33+00:00
878281511006478336,7506,1241,2017-06-23 16:00:04+00:00
878057613040115712,40791,6566,2017-06-23 01:10:23+00:00
877736472329191424,77266,18439,2017-06-22 03:54:17+00:00
877611172832227328,0,78,2017-06-21 19:36:23+00:00
877556246731214848,22049,3671,2017-06-21 15:58:08+00:00
877316821321428993,26585,5025,2017-06-21 00:06:44+00:00
877201837425926144,26326,5404,2017-06-20 16:29:50+00:00
876838120628539392,20082,3225,2017-06-19 16:24:33+00:00
876537666061221889,22867,4488,2017-06-18 20:30:39+00:00
876484053909872640,18224,2310,2017-06-18 16:57:37+00:00
876120275196170240,27129,4516,2017-06-17 16:52:05+00:00
875747767867523072,24458,4149,2017-06-16 16:11:53+00:00
875144289856114688,21318,4772,2017-06-15 00:13:52+00:00
875097192612077568,26618,5862,2017-06-14 21:06:43+00:00
875021211251597312,24745,4571,2017-06-14 16:04:48+00:00
874680097055178752,27029,4500,2017-06-13 17:29:20+00:00
874434818259525634,0,14231,2017-06-13 01:14:41+00:00
874296783580663808,25326,3989,2017-06-12 16:06:11+00:00
874057562936811520,22079,3827,2017-06-12 00:15:36+00:00
874012996292530176,33554,10082,2017-06-11 21:18:31+00:00
873580283840344065,23550,3818,2017-06-10 16:39:04+00:00
873337748698140672,0,1539,2017-06-10 00:35:19+00:00
873213775632977920,7027,1539,2017-06-09 16:22:42+00:00
872967104147763200,26569,5264,2017-06-09 00:02:31+00:00
872820683541237760,14324,3601,2017-06-08 14:20:41+00:00
872620804844003328,20215,3582,2017-06-08 01:06:27+00:00
872486979161796608,39654,8774,2017-06-07 16:14:40+00:00
872122724285648897,33509,7921,2017-06-06 16:07:15+00:00
871879754684805121,36908,10858,2017-06-06 00:01:46+00:00
871762521631449091,19759,3393,2017-06-05 16:15:56+00:00
871515927908634625,19689,3368,2017-06-04 23:56:03+00:00
871166179821445120,0,5555,2017-06-04 00:46:17+00:00
871102520638267392,20417,5384,2017-06-03 20:33:19+00:00
871032628920680449,22150,3728,2017-06-03 15:55:36+00:00
870804317367881728,32831,6050,2017-06-03 00:48:22+00:00
870726314365509632,118,3,2017-06-02 19:38:25+00:00
870656317836468226,12111,2589,2017-06-02 15:00:16+00:00
870374049280663552,80897,25677,2017-06-01 20:18:38+00:00
870308999962521604,21373,4063,2017-06-01 16:00:09+00:00
870063196459192321,35809,8167,2017-05-31 23:43:25+00:00
869772420881756160,41542,9826,2017-05-31 04:27:59+00:00
869702957897576449,27655,6215,2017-05-30 23:51:58+00:00
869596645499047938,15647,3079,2017-05-30 16:49:31+00:00
869227993411051520,20037,3719,2017-05-29 16:24:37+00:00
868880397819494401,64223,14204,2017-05-28 17:23:24+00:00
868639477480148993,0,2052,2017-05-28 01:26:04+00:00
868622495443632128,26202,5208,2017-05-28 00:18:35+00:00
868552278524837888,9919,2052,2017-05-27 19:39:34+00:00
867900495410671616,23752,4110,2017-05-26 00:29:37+00:00
867774946302451713,33354,7236,2017-05-25 16:10:44+00:00
867421006826221569,15823,2456,2017-05-24 16:44:18+00:00
